Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov26m.pt,TrackTrack,MOT17-02-FRCNN,26.578,0.19858995748345085,0.2471440636529315,42.0,39.492,17.926,52.6766,11.3903,ok,
yolov26m.pt,TrackTrack,MOT17-04-FRCNN,30.632,0.17486384759341422,0.2813032442018151,17.0,54.972,17.092,99.9650,10.5037,ok,
rt-detr-l.pt,ByteTrack,MOT17-02-FRCNN,26.381,0.21710349281524138,0.2831627096493139,42.0,36.682,19.049,54.6088,10.9872,ok,
rt-detr-l.pt,ByteTrack,MOT17-04-FRCNN,30.87,0.18897323212145425,0.30724996987070224,19.0,53.072,18.019,102.6140,10.2325,ok,
rt-detr-l.pt,BoT-SORT,MOT17-02-FRCNN,25.329,0.22022496098164793,0.2652270451478079,46.0,33.303,19.398,61.1823,9.8068,ok,
rt-detr-l.pt,BoT-SORT,MOT17-04-FRCNN,31.332,0.19362028723426625,0.3201074602190535,9.0,54.289,18.133,111.7816,9.3933,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-02-FRCNN,27.498,0.24374360906302137,0.31059802215525656,73.0,36.107,21.084,65.2846,9.1905,ok,
rt-detr-l.pt,Deep_OC-SORT,MOT17-04-FRCNN,35.187,0.24305570157915765,0.36944389731468713,30.0,54.614,22.748,129.0606,8.1357,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-02-FRCNN,26.116,0.257844034228513,0.29110263610075016,115.0,30.988,22.279,60.7802,9.8716,ok,
rt-detr-l.pt,Hybrid-SORT,MOT17-04-FRCNN,36.053,0.2787391971739176,0.38109361688700977,53.0,50.464,25.863,136.2253,7.7078,ok,
rt-detr-l.pt,BoostTrack++,MOT17-02-FRCNN,26.456,0.22819008664765084,0.27571211132854967,56.0,35.794,19.721,55.3905,10.8322,ok,
rt-detr-l.pt,BoostTrack++,MOT17-04-FRCNN,31.346,0.22818933069789937,0.3299993331999733,71.0,45.926,21.495,113.2844,9.2687,ok,
rt-detr-l.pt,TrackTrack,MOT17-02-FRCNN,27.151,0.22549916581454174,0.27439579988718704,48.0,37.631,19.691,61.8320,9.7037,ok,
rt-detr-l.pt,TrackTrack,MOT17-04-FRCNN,32.479,0.20320878104169735,0.3214462520698544,26.0,55.797,18.957,116.1287,9.0417,ok,
